tmdb_film_id,tmdb_person_id,character,,
14,19,Barbara Fitts,,
14,516,Carolyn Burnham,,
14,1979,Lester Burnham,,
14,2154,Jim Olmeyer,,
14,2155,Jane Burnham,,
14,2955,Colonel Frank Fitts,,
14,8210,Ricky Fitts,,
14,8211,Angela Hayes,,
14,8212,Buddy Kane,,
14,8213,Jim Berkley,,
14,8214,Brad Dupree,,
15,40,Charles Foster Kane,,
15,4077,Kane's Father,,
15,7664,Jedediah Leland,,
15,11025,Mutter,,
15,11026,Emily Norton Kane,,
15,11027,Mr. Bernstein,,
15,11028,Mr. Thatcher,,
15,11029,Susan Alexander Kane,,
15,11030,Jerry Thompson,,
15,11031,Mr. Rawlston,,
15,11032,Kane als Kind,,
15,11033,Raymond,,
15,14364,Mr. Bernstein,,
15,14518,James W. Gettys,,
15,14979,Matiste,,
15,33743,The Headwaiter,,
15,105021,Miss Anderson,,
15,945285,Man at Party in Everglades (uncredited),,
15,1198371,Kane III,,
16,47,Selma Jezkova,,
16,50,Kathy,,
16,52,Bill Houston,,
16,53,Jeff,,
16,1640,Doctor,,
16,1642,Norman,,
16,1646,Dr. Porkorny,,
16,2617,Linda Houston,,
16,4458,Woman on Night Shift,,
16,6121,Morty,,
16,6748,Oldrich Novy,,
16,6749,Gene Jezkova,,
16,6750,Samuel,,
16,6751,Brenda,,
16,6752,District Attorney,,
16,6753,Judge,,
16,6754,Receptionist,,
16,6755,Defense Attorney,,
16,6756,Suzan,,
16,6757,Angry Man,,
16,6758,Detective,,
19,73,Johann 'Joh' Fredersen,,
19,74,Freder Fredersen,,
19,75,Maria,,
19,77,"C.A. Rotwang, the inventor",,
19,78,Der Schmale,,
19,79,Josaphat - Joseph,,
19,80,No. 11811,,
19,81,Grot,,
19,82,Jan,,
19,83,Marinus,,
19,2350,Arbeiterfrau,,
19,20533,Zeremonienmeister,,
19,20534,Frau im Wagen,,
19,20535,Kreativer Mensch,,
19,73,Johann 'Joh' Fredersen,,
19,74,Freder Fredersen,,
19,75,Maria,,
19,77,"C.A. Rotwang, the inventor",,
19,78,Der Schmale,,
19,79,Josaphat - Joseph,,
19,80,No. 11811,,
19,81,Grot,,
19,82,Jan,,
19,83,Marinus,,
19,2350,Arbeiterfrau,,
19,20533,Zeremonienmeister,,
19,20534,Frau im Wagen,,
19,20535,Kreativer Mensch,,
20,98,Ann,,
20,99,Laurie,,
20,100,Don,,
20,101,Neighbor Ann,,
20,102,Ann's Mother,,
20,103,Lee,,
20,658,Ann's Father,,
20,2319,Hairdresser,,
20,2320,Dr. Thompson,,
20,2321,Penny,,
20,2322,Patsy,,
20,2323,Camille Martínez,,
24,139,The Bride,,
24,140,O-Ren Ishii,,
24,141,Bill,,
24,147,Budd,,
24,589,Elle Driver,,
24,2535,Vernita Green,,
24,2536,Earl McGraw,,
24,2537,Hattori Hanzo,,
24,2538,Gogo Yubari,,
24,2539,Sofie Fatale,,
24,2541,Boss Tanaka,,
24,2542,Crazy 88 #2,,
24,2544,Boss Ozawah,,
24,4026,Nikki Bell,,
24,9193,Boss Benta,,
24,58616,Charlie Brown,,
24,79458,Tokyo Business Man,,
24,115659,Crazy 88 #3 (as Yoji Boba Tanaka),,
24,240171,Johnny Mo,,
24,545394,Proprietor,,
26,164,Eyal,,
26,165,Axel Himmelman,,
26,166,Pia Himmelman,,
26,167,Menachem,,
26,168,Axel's Mother,,
26,169,Axel's Father,,
26,170,Alfred Himmelman,,
27,176,Matt,,
27,177,Lisa,,
27,3688,Themselves,,
27,3689,Themselves,,
27,3690,Themselves,,
27,3691,Themselves,,
27,3692,Themselves,,
27,3694,Themselves,,
27,10759,Himself,,
28,3,Colonel Lucas,,
28,349,Lieutenant Richard M. Colby,,
28,1776,Director (cameo),,
28,2778,Photojournalist,,
28,2975,Tyrone 'Clean' Miller,,
28,3084,Colonel Walter E. Kurtz,,
28,3087,Lieutenant Colonel Bill Kilgore,,
28,3173,General Corman,,
28,8346,"Jerry, Civilian",,
28,8349,Captain Benjamin L. Willard,,
28,8350,Lance B. Johnson,,
28,8351,Jay 'Chef' Hicks,,
28,8354,Chief Phillips,,
28,13023,Miss May,,
28,80874,Supply Sergeant,,
28,3,Colonel Lucas,,
28,349,Lieutenant Richard M. Colby,,
28,1776,Director (cameo),,
28,2778,Photojournalist,,
28,2975,Tyrone 'Clean' Miller,,
28,3084,Colonel Walter E. Kurtz,,
28,3087,Lieutenant Colonel Bill Kilgore,,
28,3173,General Corman,,
28,8346,"Jerry, Civilian",,
28,8349,Captain Benjamin L. Willard,,
28,8350,Lance B. Johnson,,
28,8351,Jay 'Chef' Hicks,,
28,8354,Chief Phillips,,
28,13023,Miss May,,
28,80874,Supply Sergeant,,
38,103,Stan,,
38,109,Patrick,,
38,204,Clementine Kruczynski,,
38,205,Mary,,
38,206,Joel Barish,,
38,207,Dr. Howard Mierzwiak,,
38,208,Young Joel,,
38,209,Carrie,,
38,210,Young Bully,,
38,211,Joel's mother,,
38,212,Rob,,
38,213,Train Conducter,,
38,214,Young Bully,,
38,216,Young Bully,,
38,217,Young Bully,,
38,220,Young Clementine,,
38,221,Rollerblader,,
38,77013,Hollis,,
55,258,Octavio,,
55,259,Susana,,
55,260,Ramiro,,
55,261,Valeria,,
55,262,Daniel,,
55,263,El Chivo,,
55,264,Luis,,
55,265,Gustavo,,
55,266,Jorge,,
55,267,Mauricio,,
55,268,Tía Luisa,,
55,269,Mama Susana,,
55,270,Mama Octavio,,
55,271,Leonardo,,
55,272,Maru,,
62,245,Dr. Dave Bowman,,
62,246,Dr. Frank Poole,,
62,247,Dr. Heywood R. Floyd,,
62,248,Moon-Watcher,,
62,249,Dr. Andrei Smyslov,,
62,250,Elena,,
62,251,Dr. Ralph Halvorsen,,
62,252,Dr. Bill Michaels,,
62,253,HAL 9000 (voice),,
62,8645,Squirt - Floyd's Daughter (uncredited),,
62,24278,Astronaut,,
62,93948,Poole's Father,,
62,102573,Mission Controller (voice),,
62,107445,Poole's Mother,,
62,108277,Aries-1B Lunar Shuttle Captain,,
62,117540,Aries-1B Stewardess,,
62,127363,Stewardess,,
62,184980,TMA-1 Site Photographer (uncredited),,
62,948173,Astronaut,,
62,1102076,Stewardess,,
62,1330785,Astronaut,,
62,1330786,Ape,,
62,1330787,Ape,,
62,1330788,Ape,,
62,1330789,Ape,,
62,1330790,Ape,,
62,1330791,Ape,,
62,1330792,Ape Attacked by Leopard,,
62,1330793,Ape,,
62,1330794,Ape,,
62,1330795,Ape,,
62,1330796,Ape,,
62,1330797,Ape,,
62,1330798,Ape,,
62,1330799,Ape,,
62,1330800,Ape,,
62,1330801,Ape,,
62,1330802,Ape,,
62,1330803,Ape,,
62,1330804,Ape,,
62,1330805,Ape Killed by Moon-Watcher,,
62,1330806,Interviewer (uncredited),,
62,1330807,Young Man (uncredited),,
62,1330808,(uncredited),,
62,1330809,(uncredited),,
62,1330810,TMA-1 Site Technician #2 (uncredited),,
62,1330811,(uncredited),,
62,1330812,(uncredited),,
62,1330813,BBC-12 Announcer (uncredited),,
62,1330814,(uncredited),,
62,1330815,Russian Scientist (uncredited),,
62,1330816,Russian Scientist (uncredited),,
62,1330817,(uncredited),,
62,1330818,(uncredited),,
62,1330819,(uncredited),,
62,1330820,Miller (uncredited),,
62,1330821,TMA-1 Site Technician #1 (uncredited),,
64,101,Alicia,,
64,398,Lydia,,
64,399,Rosa,,
64,400,Katerina Bilova,,
64,402,Bailarine,,
64,1602,Alfredo,,
64,1610,Benigno,,
64,2759,Matilde,,
64,3482,Concierge,,
64,3618,Marco,,
64,3619,Bailarine,,
64,3620,Singer at Party,,
64,3621,Doctor,,
64,3623,Ángela,,
64,3624,Niño de Valencia,,
64,3625,Lydia's Sister,,
64,3626,Alicia's Father,,
64,3627,Amparo,,
67,762,Khaled,,
67,764,Jamal,,
67,765,Said's mother,,
67,766,Abu Karem,,
67,791,Abu Salim,,
67,25087,Said,,
67,77498,Suha,,
68,65,Mr. M. Kurtzmann,,
68,280,Smoking Man (uncredited),,
68,374,Harvey Lime,,
68,378,Sam Lowry,,
68,380,Archibald 'Harry' Tuttle,,
68,381,Mrs. Ida Lowry,,
68,382,Spoor,,
68,383,Jack Lint,,
68,385,Mr. Warrenn,,
68,386,Mr. Helpmann,,
68,387,Jill Layton,,
68,388,Dr. Jaffe,,
68,14325,Dowser,,
68,22171,Spiro,,
68,97167,Mrs. Alma Terrain,,
68,177594,Shirley,,
69,368,June Carter,,
69,417,Vivian,,
69,418,Ray Cash,,
69,419,Elvis Presley,,
69,420,Roy Orbison,,
69,421,Waylon Jennings,,
69,422,Jerry Lee Lewis,,
69,424,Sam Phillips,,
69,425,Luther Perkins,,
69,426,Marshall Grant,,
69,427,Maybelle Carter,,
69,428,Ezra Carter,,
69,429,Young Johnny Cash,,
69,430,Rosanne Cash,,
69,431,Carlene Carter,,
69,73421,Johnny Cash,,
76,569,Jesse,,
76,571,Wife on Train,,
76,572,Husband on Train,,
76,573,Guy on Bridge,,
76,574,Guy on Bridge,,
76,1146,Céline,,
76,3722,Cafe Patron,,
76,3727,Cafe Patron,,
76,3735,Street Poet,,
76,3736,Belly Dancer,,
76,3737,Guitar Player in Club,,
76,3738,Bartender,,
76,3739,Percussionist,,
76,146859,Palm Reader,,
76,1265413,Cafe Patron,,
76,1265414,Cafe Patron,,
76,1265415,Cafe Patron,,
76,1265416,Cafe Patron,,
76,1265417,Cafe Patron,,
76,1265418,Cafe Patron,,
76,1265419,Cafe Patron,,
76,1265420,Cafe Patron,,
76,1265421,Cafe Patron,,
76,1265422,Cafe Patron,,
76,1265423,Musician on Boat,,
76,1265424,Musician on Boat,,
76,1265425,Harpsichord Player,,
77,529,Leonard,,
77,530,Natalie,,
77,532,Teddy Gammell,,
77,534,Burt,,
77,535,Waiter,,
77,536,Leonard's Wife,,
77,537,Sammy,,
77,538,Mrs. Jankis,,
77,539,Doctor,,
77,540,Dodd,,
77,542,Blonde,,
77,543,Tattooist,,
77,544,Jimmy,,
78,3,Rick Deckard,,
78,585,Roy Batty,,
78,586,Rachael,,
78,587,Gaff,,
78,588,Bryant,,
78,589,Pris,,
78,590,J.F. Sebastian,,
78,591,Leon Kowalski,,
78,592,Eldon Tyrell,,
78,593,Zhora,,
78,20904,Hannibal Chew,,
78,53760,Bear,,
78,58495,Holden,,
78,107074,Taffey Lewis,,
78,943481,Kaiser,,
78,949610,Saleslady,,
78,951333,Cambodian Lady,,
78,1221198,Howie Lee,,
78,3,Rick Deckard,,
78,585,Roy Batty,,
78,586,Rachael,,
78,587,Gaff,,
78,588,Bryant,,
78,589,Pris,,
78,590,J.F. Sebastian,,
78,591,Leon Kowalski,,
78,592,Eldon Tyrell,,
78,593,Zhora,,
78,20904,Hannibal Chew,,
78,53760,Bear,,
78,58495,Holden,,
78,107074,Taffey Lewis,,
78,943481,Kaiser,,
78,949610,Saleslady,,
78,951333,Cambodian Lady,,
78,1221198,Howie Lee,,
79,1336,Nameless,,
79,1337,Broken Sword,,
79,1338,Flying Snow,,
79,1339,Moon,,
79,1340,King of Qin,,
79,1341,Sky,,
79,1342,Scholar,,
79,1343,Old Servant,,
79,1344,Prime Minister,,
79,1345,General,,
80,569,Jesse,,
80,649,Bookstore Manager,,
80,651,Journalist #1,,
80,657,Waitress,,
80,1146,Céline,,
80,3728,Philippe,,
80,3729,Boat Attendant,,
80,3730,Man at Grill,,
80,3731,Woman in Courtyard,,
80,1275639,Journalist #2,,
81,139,Kushana (English version),,
81,587,Mito (English version),,
81,613,Nausicaä (Voice),,
81,614,Jihl (Voice),,
