tmdb_film_id,tmdb_person_id,job,,
14,39,Director,,
14,153,Original Music Composer,,
14,495,Casting,,
14,2152,Screenplay,,
14,2152,Author,,
14,7414,Editor,,
14,8215,Producer,,
14,8216,Producer,,
14,8217,Director of Photography,,
14,8219,Editor,,
14,8220,Set Designer,,
14,8221,Art Direction,,
14,8222,Costume Design,,
15,40,Screenplay,,
15,40,Director,,
15,40,Producer,,
15,1045,Original Music Composer,,
15,1744,Editor,,
15,3252,Special Effects,,
15,8504,Director of Photography,,
15,10153,Costume Design,,
15,11034,Producer,,
15,11035,Executive Producer,,
15,11036,Art Direction,,
15,11783,Writer,,
15,30012,Screenplay,,
15,1040011,Writer,,
15,1117970,Writer,,
16,42,Screenplay,,
16,42,Director,,
16,42,Author,,
16,1174,Executive Producer,,
16,1632,Director of Photography,,
16,2952,Casting,,
16,6146,Producer,,
16,6156,Editor,,
16,6157,Sound Designer,,
16,6759,Producer,,
16,6760,Producer,,
16,6761,Producer,,
16,6762,Producer,,
16,6763,Producer,,
16,6764,Producer,,
16,6765,Producer,,
16,6766,Producer,,
16,6794,Editor,,
16,6795,Production Design,,
16,6796,Art Direction,,
16,6797,Costume Design,,
19,67,Producer,,
19,68,Author,,
19,68,Director,,
19,68,Editor,,
19,69,Original Music Composer,,
19,70,Director of Photography,,
19,71,Director of Photography,,
19,157,Author,,
19,2798,Director of Photography,,
19,5030,Set Designer,,
19,12320,Production Design,,
19,12369,Production Design,,
19,13887,Production Design,,
19,20536,Costume Design,,
19,67,Producer,,
19,68,Director,,
19,68,Editor,,
19,68,Author,,
19,69,Original Music Composer,,
19,70,Director of Photography,,
19,71,Director of Photography,,
19,157,Author,,
19,2798,Director of Photography,,
19,5030,Set Designer,,
19,12320,Production Design,,
19,12369,Production Design,,
19,13887,Production Design,,
19,20536,Costume Design,,
20,90,Director,,
20,93,Producer,,
20,96,Producer,,
20,97,Author,,
20,104,Director of Photography,,
20,105,Editor,,
20,106,Original Music Composer,,
20,309,Executive Producer,,
20,952,Executive Producer,,
20,2324,Casting,,
20,2325,Casting,,
20,2326,Art Direction,,
20,2327,Costume Design,,
20,2328,Sound Designer,,
20,2329,Sound Designer,,
20,2330,Sound Designer,,
20,2331,Sound Designer,,
24,138,Director,,
24,138,Writer,,
24,149,Director of Photography,,
24,156,Editor,,
24,2545,Producer,,
24,3685,Casting,,
24,3686,Casting,,
24,3687,Sound Designer,,
24,50462,Costume Design,,
24,1309945,Costume Design,,
26,159,Original Music Composer,,
26,160,Director,,
26,161,Producer,,
26,162,Producer,,
26,162,Author,,
26,163,Editor,,
26,171,Director of Photography,,
27,172,Author,,
27,172,Director,,
27,172,Editor,,
27,172,Producer,,
27,173,Producer,,
27,179,Director of Photography,,
27,182,Editor,,
27,3697,Casting,,
27,3698,Casting,,
28,123,Production Manager,,
28,154,Sound Designer,,
28,154,Editor,,
28,794,Art Direction,,
28,852,Editor,,
28,1776,Director,,
28,1776,Screenplay,,
28,1776,Producer,,
28,2870,Producer,,
28,2871,Producer,,
28,2872,Original Music Composer,,
28,2875,Production Design,,
28,3170,Producer,,
28,3176,Casting,,
28,3274,Editor,,
28,7202,Director of Photography,,
28,8327,Novel,,
28,8328,Screenplay,,
28,8330,Producer,,
28,8331,Producer,,
28,8333,Producer,,
28,8337,Casting,,
28,8339,Set Decoration,,
28,8340,Makeup Artist,,
28,8342,Makeup Artist,,
28,8344,Production Manager,,
28,123,Production Manager,,
28,154,Editor,,
28,154,Sound Designer,,
28,794,Art Direction,,
28,852,Editor,,
28,1776,Director,,
28,1776,Screenplay,,
28,1776,Producer,,
28,2870,Producer,,
28,2871,Producer,,
28,2872,Original Music Composer,,
28,2875,Production Design,,
28,3170,Producer,,
28,3176,Casting,,
28,3274,Editor,,
28,7202,Director of Photography,,
28,8327,Novel,,
28,8328,Screenplay,,
28,8330,Producer,,
28,8331,Producer,,
28,8333,Producer,,
28,8337,Casting,,
28,8339,Set Decoration,,
28,8340,Makeup Artist,,
28,8342,Makeup Artist,,
28,8344,Production Manager,,
38,201,Director,,
38,201,Story,,
38,201,Screenplay,,
38,202,Screenplay,,
38,202,Story,,
38,222,Story,,
38,222,Screenplay,,
38,312,Original Music Composer,,
38,313,Director of Photography,,
38,321,Producer,,
38,322,Producer,,
38,4340,Camera Operator,,
38,4475,Editor,,
55,223,Editor,,
55,223,Director,,
55,223,Producer,,
55,273,Producer,,
55,273,Author,,
55,275,Director of Photography,,
55,276,Editor,,
55,277,Editor,,
55,278,Original Music Composer,,
55,279,Original Music Composer,,
55,69871,Executive Producer,,
55,989004,Producer,,
55,1114886,Producer,,
55,1114887,Producer,,
55,1114888,Executive Producer,,
62,240,Director,,
62,240,Producer,,
62,240,Screenplay,,
62,241,Novel,,
62,241,Screenplay,,
62,243,Director of Photography,,
62,244,Editor,,
62,254,Sound mixer,,
62,255,Sound Editor,,
62,257,Producer,,
62,2288,Casting,,
62,9402,Special Effects,,
62,12510,Production Design,,
62,18758,Special Effects,,
62,26872,Set Decoration,,
62,957776,Art Direction,,
62,986346,Production Design,,
62,1125548,Production Design,,
64,309,Screenplay,,
64,309,Director,,
64,309,Author,,
64,311,Producer,,
64,403,Director of Photography,,
64,405,Original Music Composer,,
64,413,Editor,,
64,952,Producer,,
64,3628,Original Music Composer,,
64,3629,Casting,,
64,3630,Art Direction,,
64,3631,Costume Design,,
67,161,Producer,,
67,357,Director,,
67,357,Author,,
67,758,Author,,
67,758,Producer,,
67,759,Director of Photography,,
67,760,Editor,,
67,767,Original Music Composer,,
67,768,Author,,
67,3699,Sound Designer,,
67,16707,Producer,,
67,16708,Producer,,
67,32463,Producer,,
67,50117,Line Producer,,
67,55486,Producer,,
67,1029500,Production Design,,
67,1125679,Producer,,
67,1125680,Producer,,
67,1125681,Producer,,
68,280,Director,,
68,280,Screenplay,,
68,293,Director of Photography,,
68,372,Screenplay,,
68,374,Screenplay,,
68,376,Producer,,
68,377,Producer,,
68,390,Casting,,
68,391,Production Design,,
68,393,Sound Editor,,
68,394,Production Sound Mixer,,
68,6347,Casting,,
68,7714,Original Music Composer,,
68,8646,Art Direction,,
68,10718,Editor,,
68,11386,Costume Design,,
