event_id,event_director_id,,,
21301,468,,,
21301,633,,,
21302,1447,,,
21303,1529,,,
21304,793,,,
21305,2308,,,
21307,2391,,,
21308,689,,,
21309,1171,,,
21310,520,,,
21311,1324,,,
21312,183,,,
21312,2167,,,
21313,2371,,,
21314,999,,,
21315,2371,,,
21316,2371,,,
21319,1288,,,
21320,2307,,,
21321,1756,,,
21322,255,,,
21323,1012,,,
21324,680,,,
21325,1608,,,
21326,1603,,,
21327,1520,,,
21328,1160,,,
21329,780,,,
21330,2326,,,
21331,785,,,
21332,743,,,
21333,2396,,,
21334,1300,,,
21335,2264,,,
21336,1436,,,
21337,2037,,,
21338,85,,,
21339,85,,,
21344,85,,,
21345,2371,,,
21346,502,,,
21347,504,,,
21348,340,,,
21349,1855,,,
21350,446,,,
21351,1336,,,
21352,499,,,
21354,26,,,
21355,1875,,,
21356,1074,,,
21357,2214,,,
21358,1136,,,
21359,1818,,,
21360,2371,,,
21361,2371,,,
21362,485,,,
21363,2407,,,
21364,287,,,
21365,819,,,
21366,2213,,,
21367,2185,,,
21368,2213,,,
21369,2401,,,
21371,301,,,
21372,1252,,,
21373,1155,,,
21377,1314,,,
21378,1029,,,
21379,1616,,,
21380,1166,,,
21381,1298,,,
21382,2390,,,
21383,380,,,
21384,143,,,
21384,1356,,,
21385,672,,,
21386,1659,,,
21387,1996,,,
21388,136,,,
21389,398,,,
21390,2215,,,
21391,2143,,,
21392,1436,,,
21393,2318,,,
21394,1436,,,
21395,1436,,,
21401,1509,,,
21402,792,,,
21403,2353,,,
21404,1703,,,
21405,1258,,,
21406,255,,,
21407,490,,,
21408,1180,,,
21409,600,,,
21410,1647,,,
21411,279,,,
21412,55,,,
21413,784,,,
21414,2236,,,
21415,85,,,
21416,2184,,,
21417,1040,,,
21417,1423,,,
21418,1940,,,
21419,1082,,,
21420,1442,,,
21422,1842,,,
21425,650,,,
21426,1206,,,
21427,1298,,,
21428,927,,,
21429,927,,,
21430,79,,,
21430,505,,,
21431,242,,,
21432,1953,,,
21433,1503,,,
21434,1024,,,
21435,329,,,
21436,1630,,,
21437,709,,,
21438,1438,,,
21439,650,,,
21440,1021,,,
21441,2042,,,
21442,2348,,,
21446,751,,,
21447,751,,,
21449,1808,,,
21450,72,,,
21453,1012,,,
21454,1830,,,
21455,161,,,
21456,956,,,
21457,2135,,,
21465,1713,,,
21466,2299,,,
21467,1612,,,
21469,751,,,
21470,751,,,
21471,751,,,
21472,751,,,
21473,2177,,,
21475,2284,,,
21476,1084,,,
21477,545,,,
21478,1242,,,
21479,247,,,
21480,977,,,
21481,579,,,
21482,1972,,,
21483,540,,,
21484,1088,,,
21485,1545,,,
21486,1804,,,
21487,2135,,,
21488,2135,,,
21489,2135,,,
21491,1143,,,
21492,2260,,,
21494,2411,,,
21497,2445,,,
21498,1508,,,
21499,286,,,
21500,2236,,,
21501,1800,,,
21502,1765,,,
21503,1765,,,
21504,1309,,,
21505,814,,,
21506,1144,,,
21507,1747,,,
21508,1537,,,
21509,435,,,
21510,1655,,,
21511,531,,,
21512,1898,,,
21513,811,,,
21514,341,,,
21515,1411,,,
21516,822,,,
21517,513,,,
21518,814,,,
21519,748,,,
21520,1867,,,
21521,403,,,
21529,1383,,,
21530,545,,,
21530,1822,,,
21531,225,,,
21532,2200,,,
21533,92,,,
21534,534,,,
21535,534,,,
21536,101,,,
21537,329,,,
21538,329,,,
21539,2080,,,
21541,1605,,,
21542,943,,,
21549,1983,,,
21550,918,,,
21553,781,,,
21554,820,,,
21555,1770,,,
21556,1532,,,
21557,820,,,
21558,1583,,,
21559,1184,,,
21561,1575,,,
21562,1184,,,
21563,1184,,,
21564,1804,,,
21565,1643,,,
21566,1037,,,
21571,1389,,,
21572,2170,,,
21573,2360,,,
21574,1247,,,
21575,1704,,,
21576,1527,,,
21577,563,,,
21578,562,,,
21579,1118,,,
21580,564,,,
21581,1768,,,
21582,1357,,,
21583,366,,,
21584,2195,,,
21586,1803,,,
21587,1668,,,
21588,1907,,,
21589,944,,,
21590,598,,,
21590,699,,,
21591,1353,,,
21594,972,,,
21594,1759,,,
21595,1631,,,
21596,1156,,,
21598,797,,,
21599,2317,,,
21600,2161,,,
21601,507,,,
21603,1991,,,
21604,906,,,
21605,1281,,,
21606,1357,,,
21607,1357,,,
21608,1863,,,
21609,1611,,,
21610,2021,,,
21612,298,,,
21613,1357,,,
21614,418,,,
21615,1869,,,
21616,662,,,
21617,969,,,
21618,1357,,,
21619,1357,,,
21620,2257,,,
21621,333,,,
21623,491,,,
21624,878,,,
21625,743,,,
21626,398,,,
21627,1672,,,
21628,2257,,,
21629,2257,,,
21630,2257,,,
21631,1569,,,
21632,1364,,,
21637,2316,,,
21638,552,,,
21639,264,,,
21642,5,,,
21643,2410,,,
21645,2257,,,
21646,1298,,,
21647,767,,,
21648,965,,,
21649,1369,,,
21654,2411,,,
21656,1637,,,
21657,1709,,,
21658,397,,,
21659,226,,,
21660,2445,,,
21666,574,,,
21667,2066,,,
21668,778,,,
21668,2189,,,
21670,1718,,,
21670,1860,,,
21671,1189,,,
21672,976,,,
21673,145,,,
21674,264,,,
21677,259,,,
21678,1172,,,
21679,490,,,
21680,718,,,
21681,1497,,,
21682,704,,,
21683,714,,,
21684,714,,,
21685,2200,,,
21686,1415,,,
21688,1898,,,
21689,1997,,,
21690,1239,,,
21690,2352,,,
21691,486,,,
21692,2087,,,
21693,1810,,,
21694,613,,,
21694,1032,,,
21695,608,,,
21696,1521,,,
21698,1599,,,
21699,2051,,,
21700,284,,,
21701,1000,,,
21702,1616,,,
21703,420,,,
21716,504,,,
21717,2200,,,
21719,55,,,
21720,313,,,
21724,1590,,,
21725,1005,,,
21726,688,,,
21727,1122,,,
21728,72,,,
21729,936,,,
21730,72,,,
21731,72,,,
21732,72,,,
21733,708,,,
21733,1280,,,
21734,173,,,
21735,817,,,
21736,1231,,,
21737,1806,,,
21738,347,,,
21739,24,,,
21740,1630,,,
21741,1209,,,
21742,1360,,,
21743,2100,,,
21744,10,,,
21745,1205,,,
21746,1023,,,
21747,2457,,,
21748,714,,,
21749,1464,,,
21750,1555,,,
21751,709,,,
21752,1462,,,
21755,1358,,,
21756,1306,,,
21757,1756,,,
21758,395,,,
21759,23,,,
21760,2077,,,
21761,1408,,,
21762,2035,,,
21763,1088,,,
21765,1887,,,
21766,622,,,
21767,744,,,
21773,744,,,
21774,744,,,
21775,622,,,
21776,622,,,
21777,1839,,,
21778,234,,,
21779,1298,,,
21780,1298,,,
21781,2050,,,
21782,1635,,,
21785,1298,,,
21786,1970,,,
21787,1158,,,
21788,1992,,,
21789,2236,,,
21790,1298,,,
21791,552,,,
21792,2028,,,
21793,1611,,,
21795,1873,,,
21796,22,,,
