event_id,title,alternative_title,release_year,certificate,languages,duration,country_of_origin,actors,is_live
21301,The Blair Witch Project,,1998,15,,85,US,,0
21302,Ratcatcher,,1999,15,,93,UK,,0
21303,Onegin,,1999,12,,106,"US, UK",,0
21304,Taxi,,1999,15,,86,France,"Samy Nacéri, Marion Cotillard, Frédéric Diefenthal, Emma Sjöberg",0
21305,Run Lola Run,,1998,15,German,80,Germany,"Moritz Bleibtreu, Herbert Knaup, Franka Potente, Armin Rohde",0
21307,Rushmore,,1998,15,,93,US,"Seymour Cassel, Olivia Williams, Jason Schwartzman, Bill Murray",0
21308,Faust,,1926,PG,,115,Germany,"Wilhelm Dieterle, Gosta Ekman, Emil Jannings, Camilla Horn",0
21309,Stop Making Sense,,1984,PG,,88,US,,0
21310,The Titchborne Claimant,,1998,PG,,98,UK,"Stephen Fry, Robert Pugh, Robert Hardy, John Kani, John Gielgud",0
21311,Boys Don't Cry,,1999,18,,114,US,"Hilary Swank, Chloë Sevigny, Brendan Sexton III",0
21312,Yana's Friends,,1999,,,90,Israel,"Shmil Ben-Ari, Nir Levi, Evlyn Kaplun",0
21313,I bambini ci guardano,The Children Are Watching Us,1942,,,86,Italy,"Marcello Mastroianni, Luciano De Ambrosis, Isa Pola",0
21314,The Last Days,,1998,PG,,86,US,,0
21315,Un garabaldino al convento,A Garibaldian in the Convent,1941,,,95,Italy,"Vittorio De Sica, Leonardo Cortese, Federico Collino, Clara Auteri Pepe",0
21316,Bicycle Thieves,Ladri di biciclette,1948,U,Italian,89,Italy,"Lianella Carell, Lamberto Maggiorani, Enzo Staiola",0
21319,Point Break,,1991,18,,122,US,"Patrick Swayze, Lori Petty, Keanu Reeves, Gary Busey",0
21320,Wintersleepers,Winterschläfer,1997,15,,134,Germany,"Ulrich Matthes, Heino Ferch, Floraine Daniel",0
21321,"Late August, Early September","Fin août, début septembre",1999,15,,111,France,"Virginie Ledoyen, Mathieu Amalric, JKeanne Balibar, François Cluzet",0
21322,L'Appât,The Bait,1995,18,,116,France,"Richard Berry, Olivier Sitruk, Marie Gillain, Bruno Putzulu",0
21323,The Portrait of a Lady,,,12,,144,"US, UK","Nicole Kidman, Martin Donovan, John Malkovich, Barbara Hershey",0
21324,Le bonheur est dans le pré,,1995,15,,106,France,"Sabine Azéma, Michel Serrault, Eric Cantona, Eddy Mitchell, Carmen Maura",0
21325,Drop Dead Gorgeous,,1999,15,,98,US,,0
21326,Heathers,,,18,,103,,"Winona Ryder, Christian Slater",0
21327,"Happy, Texas",,1999,,,100,US,"Steve Zahn, Jeremy Northam, Illeana Douglas, Ally Walker",0
21328,Pink Flamingos,,1972,18,,95,US,,0
21329,Hold Me While I'm Naked,,1966,,,15,US,,0
21330,South Park Bigger Louder & Uncut,,1999,15,,82,US,,0
21331,The Devil's Cleavage,,1973,18,,120,US,,0
21332,Sitcom,,1998,18,,89,France,"Marina et Adrien de Van, François Marthouret, Evelyne Dandry",0
21333,The Exorcist,,1973,18,,122,US,,0
21334,The Devils,,1971,18,English,107,Great Britain,"Vanesa Redgrave, Oliver Reed, Dudley Sutton",0
21335,Monty Python's Life of Brian,,1979,15,,93,UK,,0
21336,Viridiana,,1961,15,,91,"Spain, Mexico","Silvia Piñal, Margarita Lozano, Francisco Rabal, Fernando Rey",0
21337,EDtv,,1999,12,,123,US,"Woody Harrelson, Mathew McConaughey, Martin Landau, Ellen Degeneres, Dennis Hopper",0
21338,Strangers on a Train,,1951,PG,,101,US,"Ruth Roman, Robert Walker, Patricia Hitchcock, Farley Granger",0
21339,Rebecca,,1940,PG,English,131,US,"Laurence Olivier, Judith Anderson, Joan Fortaine, George Sanders",0
21344,Vertigo,,1958,PG,,128,US,"Kim Novak, Jimmy Stewart, Barbara Bel Geddes",0
21345,La Ciociara,Two Women,1961,15,,110,"Italy, France","Sophia Loren, Jean-Paul Belmondo, Emma Brown",0
