tmdb_person_id,name,profile_path,,
1,George Lucas,/rJ1zvSeZfge0mHtLnzJn4Mkw18S.jpg,,
2,Mark Hamill,/klQrOckrIuUluOEp7g0osOfTgWI.jpg,,
3,Harrison Ford,/7CcoVFTogQgex2kJkXKMe8qHZrC.jpg,,
5,Peter Cushing,/iFE9Xi5B0eZcNFqvCx78UUzmUfI.jpg,,
7,Andrew Stanton,/hMbbkReZWtuC7yNcX6v0ytOicMD.jpg,,
8,Lee Unkrich,/plN9zGzLvp5tBPwsH1zfDu2IhD2.jpg,,
13,Albert Brooks,/kahlMTdygrPJ28VYRhKPavYD9hs.jpg,,
14,Ellen DeGeneres,/b6XNecDpyRZQAuBDYTMsW6McFSp.jpg,,
18,Brad Garrett,/mVIo16Ms5jwNs1u4z1Ot1ilmCwa.jpg,,
19,Allison Janney,/qMl84hjDjhfezNhhX7aCC3RtkdI.jpg,,
22,Barry Humphries,/bBXWmZtFbKy6Wzk1fHOCE8j6KfS.jpg,,
23,Bill Hunter,/fDYf8bxLtyy3vnSFX27QBe3mG8d.jpg,,
24,Robert Zemeckis,/jJpbvGw4xTC8lWMqNYpLVCMMVV.jpg,,
27,Eric Roth,/e73ADDpR3vT1Bwa0Q0oRp5RQWTb.jpg,,
31,Tom Hanks,/xxPMucou2wRDxLrud8i2D4dsywh.jpg,,
32,Robin Wright,/1bAJgZFmu6QMzPBUv3X90CSBL99.jpg,,
33,Gary Sinise,/aa2DOJZWvTcYSvoEKJzwfulv3sc.jpg,,
34,Mykelti Williamson,/8TTxzpuvvpw2tB8xZBCDslYupNU.jpg,,
37,Alan Silvestri,/k1xBoqCl5qRwWQfFTC1kOtNgEEA.jpg,,
38,Arthur Schmidt,,,
39,Sam Mendes,/9ZHO6I45789LzOGjAV6qRRoZ4X.jpg,,
40,Orson Welles,/pZz07JqawZP3eKUwpaAZq63vEmF.jpg,,
42,Lars von Trier,/zVINg5oIjpSIchNaTWyMPWQKrvm.jpg,,
43,John Fawcett,,,
47,Björk,/6O1UQBeMN1p5LMqCgMajvihe3KI.jpg,,
48,Sean Bean,/arkVBI4myH8kvxFc7QIapy2DuT6.jpg,,
49,Maria Bello,/wU5I528qHPG9pAGNnghYVEW69gr.jpg,,
50,Catherine Deneuve,/mes3jMqmUwUE5qPv9ZUJ0GlQghb.jpg,,
