tmdb_film_id,iso_639_1,,,
14,en,,,
15,en,,,
16,en,,,
19,de,,,
19,de,,,
20,en,,,
20,ru,,,
24,en,,,
24,fr,,,
24,ja,,,
26,ar,,,
26,de,,,
26,en,,,
26,he,,,
26,it,,,
26,tr,,,
27,en,,,
28,en,,,
28,en,,,
38,en,,,
55,es,,,
62,en,,,
62,ru,,,
64,es,,,
67,ar,,,
67,en,,,
68,en,,,
69,en,,,
69,ru,,,
76,de,,,
76,en,,,
76,fr,,,
77,en,,,
78,cn,,,
78,de,,,
78,en,,,
78,hu,,,
78,ja,,,
78,cn,,,
78,de,,,
78,en,,,
78,hu,,,
78,ja,,,
79,zh,,,
80,en,,,
80,fr,,,
81,ja,,,
86,de,,,
99,es,,,
102,da,,,
103,en,,,
103,es,,,
104,de,,,
104,en,,,
104,ja,,,
105,en,,,
108,fr,,,
108,pl,,,
110,fr,,,
110,hu,,,
112,da,,,
113,ko,,,
115,de,,,
115,en,,,
115,es,,,
115,he,,,
117,en,,,
128,ja,,,
129,ja,,,
134,en,,,
136,de,,,
136,en,,,
136,es,,,
136,fr,,,
136,it,,,
137,en,,,
137,fr,,,
137,it,,,
140,es,,,
141,en,,,
142,en,,,
144,de,,,
144,en,,,
144,fr,,,
145,en,,,
146,zh,,,
147,en,,,
147,fr,,,
149,ja,,,
153,en,,,
153,ja,,,
162,en,,,
164,en,,,
164,pt,,,
170,en,,,
170,es,,,
170,fi,,,
170,fr,,,
170,it,,,
175,en,,,
175,fr,,,
175,it,,,
175,ru,,,
185,en,,,
187,en,,,
191,de,,,
194,fr,,,
194,ru,,,
205,en,,,
205,fr,,,
213,en,,,
216,de,,,
219,es,,,
221,en,,,
223,en,,,
223,fr,,,
226,en,,,
228,de,,,
228,en,,,
234,de,,,
235,en,,,
237,en,,,
238,en,,,
238,it,,,
238,la,,,
239,en,,,
240,en,,,
240,es,,,
240,it,,,
240,la,,,
243,da,,,
243,en,,,
244,en,,,
246,ja,,,
247,en,,,
252,de,,,
252,en,,,
252,fr,,,
257,en,,,
260,en,,,
265,de,,,
266,de,,,
266,en,,,
266,fr,,,
266,it,,,
267,es,,,
269,en,,,
269,fr,,,
275,en,,,
276,de,,,
284,en,,,
289,de,,,
289,en,,,
289,fr,,,
289,it,,,
291,en,,,
291,it,,,
300,en,,,
300,es,,,
300,fr,,,
302,en,,,
302,fr,,,
307,de,,,
307,it,,,
308,en,,,
308,ru,,,
309,da,,,
309,de,,,
309,en,,,
313,en,,,
315,en,,,
327,en,,,
327,es,,,
327,it,,,
327,ja,,,
334,de,,,
334,en,,,
334,fr,,,
335,en,,,
336,en,,,
336,hu,,,
336,it,,,
338,de,,,
340,en,,,
340,ru,,,
340,uk,,,
342,de,,,
342,ru,,,
346,ja,,,
351,de,,,
379,en,,,
379,gd,,,
379,it,,,
379,yi,,,
383,en,,,
383,es,,,
389,en,,,
391,es,,,
391,it,,,
392,en,,,
392,fr,,,
398,en,,,
401,en,,,
404,en,,,
405,it,,,
406,fr,,,
407,de,,,
407,el,,,
407,tr,,,
407,de,,,
407,el,,,
407,tr,,,
421,de,,,
421,en,,,
421,fr,,,
421,is,,,
421,it,,,
421,pt,,,
421,tl,,,
423,de,,,
423,en,,,
423,pl,,,
426,en,,,
427,fr,,,
428,de,,,
429,en,,,
429,it,,,
434,de,,,
445,fr,,,
446,de,,,
446,pl,,,
446,ru,,,
452,da,,,
468,en,,,
470,en,,,
473,en,,,
475,en,,,
476,en,,,
476,fr,,,
480,de,,,
480,en,,,
480,hi,,,
481,es,,,
482,en,,,
482,hu,,,
488,de,,,
488,en,,,
488,sw,,,
489,en,,,
490,sv,,,
492,en,,,
492,fr,,,
492,hu,,,
501,en,,,
504,en,,,
513,en,,,
513,hi,,,
533,en,,,
533,fr,,,
539,en,,,
541,en,,,
541,es,,,
542,es,,,
543,en,,,
546,en,,,
548,ja,,,
548,ja,,,
553,en,,,
554,de,,,
554,fi,,,
554,ru,,,
562,de,,,
562,en,,,
562,it,,,
567,en,,,
570,fr,,,
571,en,,,
575,de,,,
577,en,,,
577,it,,,
578,en,,,
582,de,,,
583,en,,,
590,en,,,
590,it,,,
592,en,,,
598,pt,,,
599,en,,,
603,en,,,
613,de,,,
613,ru,,,
614,la,,,
614,sv,,,
617,en,,,
622,en,,,
622,es,,,
622,fr,,,
622,la,,,
622,pt,,,
624,en,,,
626,fr,,,
627,en,,,
630,en,,,
638,en,,,
641,en,,,
648,fr,,,
649,es,,,
649,fr,,,
649,mn,,,
649,pt,,,
654,en,,,
655,en,,,
658,en,,,
658,es,,,
670,ko,,,
678,en,,,
680,en,,,
680,es,,,
680,fr,,,
690,fr,,,
692,en,,,
694,en,,,
696,en,,,
702,en,,,
703,de,,,
703,en,,,
704,en,,,
705,en,,,
705,fr,,,
711,en,,,
711,es,,,
742,sv,,,
743,de,,,
743,fi,,,
753,en,,,
759,en,,,
759,fr,,,
763,en,,,
764,en,,,
769,en,,,
770,en,,,
771,en,,,
773,en,,,
776,fr,,,
777,de,,,
777,fr,,,
778,fr,,,
779,de,,,
780,fr,,,
781,de,,,
793,en,,,
797,en,,,
797,sv,,,
800,es,,,
804,en,,,
804,it,,,
805,en,,,
807,en,,,
824,en,,,
824,es,,,
824,fr,,,
827,fr,,,
829,cn,,,
829,en,,,
829,es,,,
832,de,,,
832,de,,,
837,en,,,
842,en,,,
843,zh,,,
844,cn,,,
844,ja,,,
844,zh,,,
845,en,,,
845,fr,,,
851,en,,,
854,en,,,
859,en,,,
863,en,,,
866,en,,,
868,af,,,
868,xh,,,
868,zu,,,
870,ja,,,
872,en,,,
875,cn,,,
875,en,,,
883,en,,,
892,fr,,,
895,it,,,
895,ru,,,
895,tt,,,
900,en,,,
902,cn,,,
902,fr,,,
905,de,,,
906,de,,,
909,en,,,
910,en,,,
914,en,,,
914,eo,,,
916,en,,,
917,hi,,,
922,en,,,
922,es,,,
925,en,,,
927,en,,,
927,es,,,
931,en,,,
934,en,,,
934,fr,,,
934,it,,,
935,en,,,
940,en,,,
946,en,,,
961,en,,,
965,en,,,
975,de,,,
975,en,,,
975,la,,,
976,en,,,
977,en,,,
979,fr,,,
981,en,,,
982,en,,,
982,es,,,
985,en,,,
995,en,,,
996,en,,,
1018,en,,,
1018,es,,,
1040,fr,,,
1040,it,,,
1040,la,,,
1050,zh,,,
1052,en,,,
1059,ja,,,
1088,en,,,
1088,mi,,,
1089,en,,,
1091,en,,,
1091,no,,,
1092,de,,,
1092,en,,,
1092,ru,,,
1093,es,,,
1093,fr,,,
1114,mn,,,
1115,de,,,
1115,fr,,,
1116,en,,,
1116,ga,,,
1116,la,,,
1123,af,,,
1123,en,,,
1123,zu,,,
1127,es,,,
1164,ar,,,
1164,en,,,
1164,es,,,
1164,fr,,,
1164,ja,,,
1164,ru,,,
1165,de,,,
1165,en,,,
1165,fr,,,
1251,cs,,,
1251,en,,,
1251,ja,,,
1253,en,,,
1255,ko,,,
1272,en,,,
1278,en,,,
1278,fr,,,
1280,ko,,,
1282,en,,,
1294,de,,,
1359,cn,,,
1359,en,,,
1359,es,,,
1360,en,,,
1360,fr,,,
1360,ru,,,
1363,en,,,
1364,en,,,
1364,es,,,
1365,en,,,
1376,en,,,
1378,en,,,
1379,fi,,,
1379,ru,,,
1382,en,,,
1382,en,,,
1389,en,,,
1391,es,,,
1393,mn,,,
1404,en,,,
1407,fr,,,
1411,en,,,
1414,es,,,
1417,es,,,
1418,es,,,
1420,en,,,
1420,fr,,,
1420,ru,,,
1427,en,,,
1429,en,,,
1430,en,,,
1433,es,,,
1435,en,,,
1443,en,,,
1444,en,,,
1480,en,,,
1480,es,,,
1485,en,,,
1494,zh,,,
1540,en,,,
1540,fr,,,
1540,ht,,,
1546,en,,,
1548,en,,,
1549,fr,,,
1553,fr,,,
1555,fr,,,
1557,de,,,
1561,fr,,,
1563,fr,,,
1578,en,,,
1584,en,,,
1585,en,,,
1588,en,,,
1591,de,,,
1591,en,,,
1591,sw,,,
1600,fr,,,
1600,it,,,
1600,pl,,,
1611,de,,,
1619,en,,,
1622,fr,,,
1626,fr,,,
1628,de,,,
1628,en,,,
1628,fr,,,
1643,en,,,
1643,es,,,
1643,fr,,,
1653,es,,,
1653,qu,,,
1665,en,,,
1667,en,,,
1667,es,,,
1667,fr,,,
1675,en,,,
1675,fr,,,
1716,fr,,,
1720,is,,,
1725,en,,,
1730,en,,,
1730,pl,,,
1770,en,,,
1776,en,,,
1777,ar,,,
1777,de,,,
1777,en,,,
1781,en,,,
1791,de,,,
1791,fr,,,
1802,de,,,
1802,fr,,,
1807,en,,,
1808,en,,,
1812,en,,,
1812,ru,,,
1818,fr,,,
1826,fr,,,
1841,en,,,
1845,en,,,
1845,fr,,,
1847,de,,,
1847,en,,,
1847,fr,,,
1850,en,,,
1878,en,,,
1887,en,,,
1887,fr,,,
1887,la,,,
1896,ca,,,
1896,es,,,
1902,es,,,
1902,es,,,
1907,en,,,
1907,fr,,,
1907,hr,,,
1907,sv,,,
1907,th,,,
1913,es,,,
1919,en,,,
1926,ar,,,
1926,en,,,
1926,es,,,
1926,fa,,,
1926,fr,,,
1926,he,,,
1926,hi,,,
1926,ja,,,
1933,en,,,
1939,en,,,
1946,en,,,
1956,en,,,
1958,fr,,,
1985,de,,,
1985,en,,,
1985,it,,,
1985,sw,,,
1986,fr,,,
1988,en,,,
1988,fr,,,
1988,ur,,,
1989,en,,,
1990,en,,,
1993,en,,,
1993,it,,,
1999,en,,,
2000,en,,,
2003,fr,,,
2009,ro,,,
2011,de,,,
2011,en,,,
2011,fa,,,
2011,fr,,,
2012,en,,,
2012,es,,,
2012,fr,,,
2013,fr,,,
2014,de,,,
2014,tr,,,
2016,ar,,,
2016,fr,,,
2016,hu,,,
2108,en,,,
2111,fr,,,
2111,zh,,,
2117,de,,,
2152,en,,,
2152,es,,,
2204,de,,,
2204,en,,,
2204,nl,,,
2211,de,,,
2239,en,,,
2260,en,,,
2262,de,,,
2262,en,,,
2266,ar,,,
2266,en,,,
2266,es,,,
2266,fr,,,
2266,zh,,,
2287,en,,,
2295,en,,,
2359,en,,,
2413,en,,,
2433,en,,,
2433,fr,,,
2440,en,,,
2440,ko,,,
2441,es,,,
2457,fr,,,
2470,es,,,
2517,ja,,,
2537,en,,,
2537,es,,,
2537,eu,,,
2537,fr,,,
2538,es,,,
2566,fr,,,
2577,en,,,
2588,es,,,
2640,en,,,
2640,it,,,
2667,en,,,
2671,es,,,
2671,ja,,,
2722,es,,,
2748,en,,,
2748,it,,,
2750,en,,,
2757,en,,,
2757,la,,,
2769,de,,,
2769,en,,,
2769,fr,,,
2771,en,,,
2777,ko,,,
2786,fr,,,
2805,th,,,
2817,fr,,,
2841,co,,,
2841,de,,,
2841,fr,,,
2845,es,,,
2891,en,,,
2894,fr,,,
2972,de,,,
2994,it,,,
3019,en,,,
3037,de,,,
3041,es,,,
3053,en,,,
3085,en,,,
3088,en,,,
3097,en,,,
3112,en,,,
3131,en,,,
3131,ga,,,
3131,la,,,
3131,zh,,,
3133,en,,,
3133,es,,,
